"GO Term ID","GO Term Description","Adjusted p-value","Genes"
"GO:0048144","fibroblast proliferation",0.00279934861325099,"FN1, E2F8, CCNA2, GNG2, NGFR"
"GO:0007059","chromosome segregation",0.0123017494748766,"SPC25, MKI67, HJURP, MND1, ESPL1, KIF2C, KIF15"
"GO:0010948","negative regulation of cell cycle process",0.0176821183176269,"WDR76, SPC25, E2F8, CDC45, ESPL1, GTSE1"
"GO:0042572","retinol metabolic process",0.0284214298565172,"AKR1B10, HSD17B6, ALDH1A2"
"GO:0051983","regulation of chromosome segregation",0.0284214298565172,"SPC25, MKI67, ESPL1, KIF2C"
"GO:0048146","positive regulation of fibroblast proliferation",0.0284214298565172,"FN1, CCNA2, NGFR"
"GO:0045786","negative regulation of cell cycle",0.0284214298565172,"WDR76, SPC25, E2F8, CDC45, ESPL1, GTSE1"
"GO:0042447","hormone catabolic process",0.0292635997112318,"HSD17B6, CPA4"
"GO:0140014","mitotic nuclear division",0.0292635997112318,"SPC25, MKI67, ESPL1, KIF2C, KIF15"
"GO:0000280","nuclear division",0.0295239774260371,"SPC25, MKI67, MND1, ESPL1, KIF2C, KIF15"
"GO:0044772","mitotic cell cycle phase transition",0.0301623803541998,"ABCB1, SPC25, CDKN3, ESPL1, CCNA2, GTSE1"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis",0.0301623803541998,"WDR62, SPC25, ESPL1, KIF15"
"GO:0098813","nuclear chromosome segregation",0.0382022407738323,"SPC25, MND1, ESPL1, KIF2C, KIF15"
"GO:0000070","mitotic sister chromatid segregation",0.0414231084443054,"SPC25, ESPL1, KIF2C, KIF15"
"GO:0001523","retinoid metabolic process",0.0414231084443054,"AKR1B10, HSD17B6, ALDH1A2"
"GO:0000075","cell cycle checkpoint signaling",0.0414231084443054,"WDR76, SPC25, CDC45, GTSE1"
"GO:0016101","diterpenoid metabolic process",0.0414231084443054,"AKR1B10, HSD17B6, ALDH1A2"
"GO:0007051","spindle organization",0.0414231084443054,"WDR62, SPC25, ESPL1, KIF15"
"GO:0048145","regulation of fibroblast proliferation",0.0414231084443054,"FN1, CCNA2, NGFR"
