Run,BioSample,Experiment,Library Name,Sample Name,SRA Study,treatment,,
SRR26830900,SAMN38256934,SRX22526896,GSM7900866,GSM7900866,SRP471911,DMSO,,KLE DMSO control replicate 2 (batch 3)
SRR26830901,SAMN38256935,SRX22526895,GSM7900865,GSM7900865,SRP471911,DMSO,,KLE DMSO control replicate 1 (batch 3)
SRR26830904,SAMN38256938,SRX22526892,GSM7900862,GSM7900862,SRP471911,DMSO,,HEC1B DMSO control replicate 4 (batch 3)
SRR26830905,SAMN38256939,SRX22526891,GSM7900861,GSM7900861,SRP471911,DMSO,,HEC1B DMSO control replicate 3 (batch 3)
SRR26830908,SAMN38256942,SRX22526888,GSM7900858,GSM7900858,SRP471911,DMSO,,ARK1 DMSO control replicate 4 (batch 3)
SRR26830909,SAMN38256943,SRX22526887,GSM7900857,GSM7900857,SRP471911,DMSO,,ARK1 DMSO control replicate 3 (batch 3)
SRR26830912,SAMN38256946,SRX22526884,GSM7900854,GSM7900854,SRP471911,DMSO,,AN3CA DMSO control replicate 2 (batch 3)
SRR26830913,SAMN38256947,SRX22526883,GSM7900853,GSM7900853,SRP471911,DMSO,,AN3CA DMSO control replicate 1 (batch 3)
SRR26830916,SAMN38256950,SRX22526880,GSM7900850,GSM7900850,SRP471911,DMSO,,CS-B DMSO control replicate 2 (batch 3)
SRR26830917,SAMN38256951,SRX22526879,GSM7900849,GSM7900849,SRP471911,DMSO,,CS-B DMSO control replicate 1 (batch 3)
SRR26830920,SAMN38256954,SRX22526876,GSM7900846,GSM7900846,SRP471911,DMSO,,EMCA-A DMSO control replicate 4 (batch 3)
SRR26830921,SAMN38256955,SRX22526875,GSM7900845,GSM7900845,SRP471911,DMSO,,EMCA-A DMSO control replicate 3 (batch 3)
SRR26830928,SAMN38256962,SRX22526868,GSM7900838,GSM7900838,SRP471911,DMSO,,CS-A DMSO control replicate 4 (batch 3)
SRR26830929,SAMN38256963,SRX22526867,GSM7900837,GSM7900837,SRP471911,DMSO,,CS-A DMSO control replicate 3 (batch 3)
SRR26830932,SAMN38256966,SRX22526864,GSM7900834,GSM7900834,SRP471911,DMSO,,UPSC-A DMSO control replicate 4 (batch 3)
SRR26830933,SAMN38256967,SRX22526863,GSM7900833,GSM7900833,SRP471911,DMSO,,UPSC-A DMSO control replicate 3 (batch 3)
SRR26830936,SAMN38256970,SRX22526860,GSM7900830,GSM7900830,SRP471911,Abemaciclib,,UPSC-A Abema replicate 1 (batch 2)
SRR26830937,SAMN38256971,SRX22526859,GSM7900829,GSM7900829,SRP471911,Abemaciclib,,UPSC-A Abema replicate 2 (batch 2)
SRR26830938,SAMN38256972,SRX22526858,GSM7900828,GSM7900828,SRP471911,DMSO,,UPSC-A DMSO control replicate 1 (batch 2)
SRR26830939,SAMN38256973,SRX22526857,GSM7900827,GSM7900827,SRP471911,DMSO,,UPSC-A DMSO control replicate 2 (batch 2)
SRR26830940,SAMN38256974,SRX22526856,GSM7900826,GSM7900826,SRP471911,Abemaciclib,,CS-A Abema replicate 1 (batch 2)
SRR26830941,SAMN38256975,SRX22526855,GSM7900825,GSM7900825,SRP471911,Abemaciclib,,CS-A Abema replicate 2 (batch 2)
SRR26830942,SAMN38256976,SRX22526854,GSM7900824,GSM7900824,SRP471911,DMSO,,CS-A DMSO control replicate 1 (batch 2)
SRR26830943,SAMN38256977,SRX22526853,GSM7900823,GSM7900823,SRP471911,DMSO,,CS-A DMSO control replicate 2 (batch 2)
SRR26830948,SAMN38256982,SRX22526848,GSM7900818,GSM7900818,SRP471911,Abemaciclib,,EMCA-A Abema replicate 1 (batch 2)
SRR26830949,SAMN38256983,SRX22526847,GSM7900817,GSM7900817,SRP471911,Abemaciclib,,EMCA-A Abema replicate 2 (batch 2)
SRR26830950,SAMN38256984,SRX22526846,GSM7900816,GSM7900816,SRP471911,DMSO,,EMCA-A DMSO control replicate 1 (batch 2)
SRR26830951,SAMN38256985,SRX22526845,GSM7900815,GSM7900815,SRP471911,DMSO,,EMCA-A DMSO control replicate 2 (batch 2)
SRR26830952,SAMN38256986,SRX22526844,GSM7900814,GSM7900814,SRP471911,DMSO,,HEC1B DMSO control replicate 2 (batch 1)
SRR26830953,SAMN38256987,SRX22526843,GSM7900813,GSM7900813,SRP471911,DMSO,,HEC1B DMSO control replicate 1 (batch 1)
SRR26830954,SAMN38256988,SRX22526842,GSM7900812,GSM7900812,SRP471911,Abemaciclib,,HEC1B Abema replicate 2 (batch 1)
SRR26830955,SAMN38256989,SRX22526841,GSM7900811,GSM7900811,SRP471911,Abemaciclib,,HEC1B Abema replicate 1 (batch 1)
SRR26830956,SAMN38256990,SRX22526840,GSM7900810,GSM7900810,SRP471911,DMSO,,ARK1 DMSO control replicate 2 (batch 1)
SRR26830957,SAMN38256991,SRX22526839,GSM7900809,GSM7900809,SRP471911,DMSO,,ARK1 DMSO control replicate 1 (batch 1)
SRR26830958,SAMN38256992,SRX22526838,GSM7900808,GSM7900808,SRP471911,Abemaciclib,,ARK1 Abema replicate 2 (batch 1)
SRR26830959,SAMN38256993,SRX22526837,GSM7900807,GSM7900807,SRP471911,Abemaciclib,,ARK1 Abema replicate 1 (batch 1)
